bohr_id,X,Y,latitude,longitude,dataset
Allmenhausen_10_1960,4415490.0,5675848.4,51.21131312719488,10.789091486257721,All Points
Allmenhausen_11_1960,4407839.3,5679498.9,51.242933739851516,10.678695491316025,All Points
Allmenhausen_2_1959,4411971.7,5676242.2,51.21432053711099,10.738658143202368,All Points
Allmenhausen_32_1968,4410119.8,5677194.8,51.22259239315652,10.711922644183717,All Points
Allmenhausen_33_1968,4410449.1,5677385.9,51.22436141351333,10.716587331403922,All Points
Allmenhausen_34_1969,4410942.4,5677743.0,51.227647581216075,10.723558229321837,All Points
Allmenhausen_35_1969,4410185.4,5677862.9,51.22860642736688,10.712694008960622,All Points
Allmenhausen_4_1959,4411316.2,5680498.3,51.252465671185085,10.728225833514545,All Points
Allmenhausen_5_1962,4414062.1,5674935.2,51.20289361959215,10.768880885298664,All Points
Allmenhausen_6_1960,4412526.7,5677148.5,51.22255016599519,10.746378020508612,All Points
Allmenhausen_8_1960,4410370.9,5678783.6,51.236909219057445,10.715118630216832,All Points
Altengottern_102E_1958,4399687.12,5673102.73,51.18408461016868,10.563777638157886,All Points
Altengottern_1_1958,4399547.42,5671479.76,51.16947646719559,10.562233772670034,All Points
Altengottern_2_1965,4393738.44,5670811.33,51.16242082356683,10.47940554001542,All Points
Altengottern_3_1987,4399370.1,5671898.8,51.173210694287164,10.559582065437358,All Points
Apolda_1_1965,4466436.2,5655896.1,51.03724299448467,11.51998090411713,All Points
Auma_1_1961,4494787.8,5618778.5,50.70454940633122,11.92471839861367,All Points
Bad_Colberg_1_1974,4414720.8,5571710.1,50.27528127594411,10.802192845347053,All Points
Ballstedt_1_1963,4446653.0,5658621.0,51.0602375694551,11.237554481983828,All Points
Behringen_10_1964,4400240.6,5652723.6,51.0010558690689,10.577319220646846,All Points
Behringen_11_1964,4397909.3,5653419.5,51.00690034961996,10.543923065017186,All Points
Behringen_12_1964,4399141.2,5654773.4,51.01928376943379,10.561092732179109,All Points
Behringen_13_1964,4402205.8,5652925.7,51.003209293522694,10.605252162852052,All Points
Behringen_1_1962,4397513.3,5654774.6,51.019006764295035,10.537900161592235,All Points
Behringen_2_1963,4396802.5,5653897.8,51.01100084973586,10.528023087475805,All Points
Behringen_3_1963,4400040.3,5653971.1,51.01223123332057,10.574123161219276,All Points
Behringen_4_1963,4396273.6,5655048.5,51.0212457369844,10.520160436353605,All Points
Behringen_5_1963,4398273.4,5655676.9,51.0272497267955,10.548475955218764,All Points
Behringen_8_1963,4401188.2,5653492.0,51.008124302078656,10.590605249018735,All Points
Behringen_9_1964,4397216.5,5656020.8,51.0301520016205,10.533318565398977,All Points
Berka_1_1939,4425540.0,5691350.0,51.35202263429819,10.92965501285224,All Points
Berka_3_1962,4423576.3,5688775.8,51.328628399439246,10.90202508487563,All Points
Beulwitz_12_1962,4452510.0,5612901.1,50.649800550208134,11.327025687834961,All Points
Birkenfelde_1_1961,4362011.3,5691689.39,51.343201090640726,10.0180518039953,All Points
Birkenhügel_1A_1987,4479579.4,5588753.4,50.43430503238333,11.71108546662955,All Points
Buttelstedt_1_1963,4458782.5,5660101.7,51.074545824332255,11.41038943421083,All Points
Buttelstedt_2_1963,4453936.2,5659434.6,51.06818109354326,11.34133038127529,All Points
Buttelstedt_3_1974,4456224.0,5662381.6,51.09484844295994,11.373609758747902,All Points
